Année;taux fertilité j. femmes;femmes scol. sec.;esperance vie;accès electricité;emission CO2;conso élec per capita;surface foret
1960;4.97929949835611;;52.5819155389656;;;;
1961;5.00356427730727;;53.0751047601188;;;;
1962;5.02536741801434;;53.4924195832633;;;;
1963;5.04555059501025;;54.0175143236319;;;;
1964;5.05647011634277;;54.6875042430578;;;;
1965;5.04068707610195;;55.3469070929588;;;;
1966;4.99208474269466;;56.0784529550346;;;;
1967;4.97327568987198;;56.7837448938105;;;;
1968;4.92208946946683;;57.3862435243943;;;;
1969;4.85597629197145;;57.9919694385412;;;;
1970;4.77857249400438;;58.5797277914785;;;;
1971;4.66926833061356;;59.1104291808497;;;;
1972;4.53970360967468;;59.5964774478026;;;;
1973;4.41046992617455;;60.0472951938947;;;;
1974;4.28877081249758;;60.5406337828001;;;;
1975;4.15688867007511;;60.9854268728314;;;;
1976;4.04038291833104;;61.4087745917462;;;;
1977;3.93673720721488;;61.8326361896729;;;;
1978;3.84307225254028;;62.1933944296921;;;;
1979;3.77341511982795;;62.5554433475633;;;;
1980;3.71365239125587;;62.8417158263401;;;;
1981;3.65661401193735;;63.1825133779335;;;;
1982;3.62715510086943;;63.5089763398907;;;;
1983;3.59456809997026;;63.7571253096449;;;;
1984;3.56419512849652;;64.0216949916608;;;;
1985;3.53598416700408;;64.2792503408698;;;;
1986;3.49952424712173;;64.5796741956126;;;;
1987;3.4551605712222;;64.8307717363296;;;;
1988;3.39893831406197;;65.034752963285;;;;
1989;3.32449529750155;;65.2470493104979;;;;
1990;3.24854712566811;;65.4332328310985;71.3905769734407;20625272.9741495;2124.7705232232;41282694.9
1991;3.15752060355108;;65.6183808549317;71.5980312446348;20766900.8941382;2150.69006005651;41210027.5
1992;3.07154779372409;;65.7700165814791;72.5817587502132;20796958.4334364;2131.3140141422;41137360.5
1993;2.98750180451949;;65.8844036047597;73.2353454133402;20937123.2839878;2137.33829720022;41064693.4
1994;2.92195451446999;;66.0877723402031;73.5221495695708;21052949.1017646;2160.49950137683;40992025.9
1995;2.86273131009326;;66.2742172585216;74.0243210891501;21652838.8483425;2197.84465676059;40919358.7
1996;2.81719959978836;;66.5585175225882;75.1534536974835;22110607.5099802;2236.9337956774;40846691.3
1997;2.77737566708572;;66.8433900161308;75.8501256682126;22492054.3625593;2259.70066720738;40774024.2
1998;2.74651561720851;51.54027;67.0864992135131;76.5062056858206;22613709.0352267;2282.05373933459;40701356.7
1999;2.71698754076488;51.83273;67.2933237469934;77.6095230266587;22720117.5927627;2314.69087300624;40628689.7
2000;2.69627739852395;52.71753;67.5489600302155;77.7241226366645;23445433.273458;2384.20689559612;40556022.3
2001;2.66649839138412;53.60913;67.8217449011295;77.2895764506449;23845771.4451802;2377.81968155697;40510303.3
2002;2.64359612888997;54.37;68.0701401856666;78.8210190415257;24165261.2571346;2432.58781805113;40464584.1
2003;2.62496905781507;55.55534;68.3260181823437;79.4556120264054;25285349.2444045;2497.93146183348;40418865.2
2004;2.6087473204182;56.57707;68.6525098010485;79.6836356242994;26434355.2603611;2575.74646659248;40373146
2005;2.58816292786263;57.44694;68.9202119548588;80.376472620727;27414328.0228544;2653.49133595013;40327427
2006;2.57726313569244;58.15202;69.2622906406328;81.2033336846605;28302931.6563452;2729.76403522342;40293287.6
2007;2.56708665613408;59.15708;69.5915488982843;81.7458636133617;29368779.2020021;2819.37270235828;40259147.7
2008;2.55498621910724;60.02488;69.899514822559;82.2765804621771;29595752.3971559;2840.65653005017;40225008.7
2009;2.53429165672021;60.71055;70.2464538128511;83.2096467287365;29267375.1851199;2791.11356363135;40190869.1
2010;2.5163852405639;62.09554;70.5566902781799;83.5373237665476;31043476.9820017;2954.76085576272;40156729.7
2011;2.49863756430494;63.27635;70.8840170316969;82.5027747156653;32021108.2567955;3019.6211004977;40123639.2
2012;2.48892369255613;63.8382;71.1732989868535;85.0690998889319;32460316.8599246;3046.33223856508;40090560.5
2013;2.47231363665771;64.8316;71.4658644066267;85.1886892166901;33119382.9903457;3105.94827933704;40057482
2014;2.46480912533581;65.6666;71.7460547253222;85.7179827560055;33198729.8204723;3127.36125703004;40024403.3
2015;2.45543225373231;65.76561;71.9521147236676;87.0559229562313;32995536.0200883;;39991324.6
2016;2.44484850440094;65.8486;72.1862300026361;87.3784431778704;33018556.3991596;;39958245.9
2017;2.42729476506769;66.26728;72.3916986676814;;33514537.9111935;;
2018;2.41492177494957;66.26578;72.5744145112694;;34289350.6607638;;
2019;2.40172011639036;;72.7632228678376;;34344006.072096;;
2020;2.38712292764477;;72.747919083206;;;;
